step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
125,597.692,4519.0381,13.981,0.560,17.48,2.299,0.561,14.000,0.000,0.0436,-0.2201,0.009,0.000,0.197,0.000,100.176
126,602.693,4758.1333,14.083,0.615,18.22,2.254,0.615,14.100,0.000,-0.0723,-0.2072,0.010,0.000,0.197,0.005,100.122
127,607.543,4597.0538,14.184,0.664,18.78,2.208,0.664,14.200,0.000,-0.1716,-0.1481,0.015,0.000,0.198,0.002,100.066
128,612.343,4612.1870,14.284,0.709,19.16,2.167,0.709,14.300,0.000,-0.2529,-0.1414,0.015,0.000,0.198,-0.003,49.870
129,617.143,4509.2135,14.383,0.749,19.36,2.131,0.749,14.400,0.000,-0.3282,-0.0885,0.020,0.000,0.198,0.003,100.173
130,621.942,4572.4752,14.483,0.784,19.35,2.084,0.784,14.500,0.000,-0.3481,-0.0363,0.024,0.000,0.199,0.011,99.875
131,626.743,4538.5545,14.582,0.814,19.19,2.062,0.814,14.600,0.000,-0.3661,0.0276,0.030,0.000,0.199,0.021,100.190
132,631.692,4708.0187,14.681,0.841,18.94,2.044,0.842,14.700,0.000,-0.3723,0.1042,0.037,0.000,0.199,0.013,99.926
133,636.594,4618.0103,14.780,0.866,18.63,2.053,0.866,14.800,0.000,-0.3865,0.0682,0.034,0.000,0.200,0.001,100.043
134,641.244,4462.7200,14.881,0.888,18.24,2.043,0.888,14.900,0.000,-0.3886,0.1600,0.042,0.000,0.201,0.014,49.900
135,646.193,4691.2434,14.982,0.907,17.74,2.037,0.907,15.000,0.000,-0.3812,0.1673,0.043,0.000,0.201,0.030,99.770
136,650.693,4281.4669,15.084,0.923,17.17,2.041,0.925,15.157,0.001,-0.3790,0.2470,0.050,0.000,0.201,-0.007,99.939
137,655.693,4758.9049,15.187,0.936,16.52,2.050,0.936,15.157,0.001,-0.3842,0.3113,0.056,0.000,0.202,-0.005,50.334
138,660.393,4472.1093,15.291,0.946,15.79,2.065,0.943,15.314,0.003,-0.3893,0.3845,0.063,0.000,0.202,-0.023,99.911
139,665.143,4468.7647,15.397,0.953,15.00,2.078,0.949,15.471,0.007,-0.3820,0.3568,0.061,0.000,0.202,-0.019,100.121
140,669.693,4334.8474,15.504,0.957,14.13,2.101,0.950,15.471,0.007,-0.3656,0.3637,0.062,0.000,0.203,0.016,99.980
141,674.594,4678.8937,15.613,0.957,13.18,2.133,0.944,15.628,0.013,-0.3511,0.3693,0.063,0.000,0.203,-0.003,50.086
142,679.293,4464.7992,15.724,0.955,12.17,2.177,0.936,15.785,0.021,-0.3356,0.4222,0.068,0.000,0.204,-0.019,100.097
143,684.243,4673.0514,15.838,0.951,11.17,2.230,0.927,15.942,0.030,-0.3378,0.4557,0.071,0.000,0.204,-0.026,99.949
144,689.344,4873.9565,15.954,0.947,10.22,2.293,0.917,15.942,0.030,-0.3269,0.4585,0.072,0.000,0.204,-0.010,99.991
145,694.094,4461.8272,16.073,0.941,9.29,2.348,0.902,16.099,0.040,-0.3066,0.4709,0.074,0.000,0.204,0.037,100.198
146,698.894,4565.0545,16.195,0.935,8.35,2.403,0.884,16.255,0.053,-0.2800,0.4609,0.074,0.000,0.204,0.060,100.697
147,703.644,4469.2234,16.319,0.927,7.41,2.472,0.866,16.412,0.067,-0.2635,0.4039,0.069,0.000,0.203,0.052,100.009
148,708.344,4467.9857,16.446,0.919,6.53,2.540,0.846,16.568,0.082,-0.2403,0.3427,0.064,0.000,0.203,0.051,99.675
149,713.394,4791.4592,16.577,0.911,5.70,2.612,0.825,16.724,0.099,-0.2050,0.3012,0.061,0.000,0.203,0.031,100.114
