step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
185,8.494,14.1217,18.945,1.042,5.88,2.485,0.498,19.034,0.553,0.0363,-0.0192,0.025,0.000,0.198,0.016
186,8.534,15.4887,19.044,1.055,5.95,2.470,0.480,19.185,0.596,0.0296,0.0442,0.031,0.000,0.198,0.032
187,8.595,22.0097,19.141,1.067,6.03,2.468,0.469,19.335,0.640,0.0359,-0.0555,0.022,0.000,0.197,-0.010
188,8.635,14.6672,19.288,1.087,6.17,2.465,0.447,19.486,0.686,0.0535,-0.0600,0.021,0.000,0.197,0.027
189,8.675,18.4855,19.385,1.101,6.28,2.471,0.426,19.486,0.686,0.0695,-0.3154,0.000,0.001,0.197,-0.014
190,8.734,21.3603,19.481,1.115,6.40,2.448,0.411,19.635,0.734,0.0576,-0.0773,0.019,0.000,0.198,-0.033
191,8.774,15.5977,19.626,1.138,6.64,2.420,0.389,19.784,0.783,0.0544,0.1388,0.038,0.000,0.197,-0.038
192,8.834,24.9931,19.721,1.155,6.82,2.378,0.377,19.784,0.783,0.0628,-0.0069,0.026,0.000,0.198,-0.038
193,8.895,19.6415,19.862,1.180,7.13,2.391,0.353,19.933,0.834,0.0701,-0.0667,0.020,0.000,0.197,-0.031
194,8.934,14.5462,20.004,1.207,7.44,2.415,0.330,20.081,0.887,0.0666,-0.0973,0.018,0.000,0.197,-0.013
195,8.974,14.0232,20.098,1.226,7.66,2.395,0.314,20.229,0.941,0.0701,-0.0346,0.023,0.000,0.198,-0.036
196,9.035,25.2434,20.193,1.246,7.90,2.398,0.307,20.229,0.941,0.0545,0.0865,0.034,0.000,0.198,0.003
197,9.075,15.0424,20.333,1.276,8.29,2.375,0.283,20.376,0.996,0.0601,0.0303,0.029,0.000,0.198,-0.026
198,9.133,27.2084,20.426,1.297,8.56,2.382,0.262,20.522,1.053,0.0768,-0.0241,0.024,0.000,0.198,0.014
199,9.174,17.9021,20.566,1.328,8.91,2.389,0.239,20.668,1.112,0.0689,-0.1760,0.011,0.000,0.199,-0.013
200,9.235,21.0916,20.659,1.349,9.13,2.380,0.235,20.813,1.172,0.0703,0.1815,0.042,0.000,0.199,0.024
201,9.294,28.2202,20.798,1.382,9.48,2.365,0.211,20.813,1.172,0.0804,-0.1692,0.011,0.000,0.199,-0.019
